id,nome,indirizzo,numero-civico,cap,quartiere,citta,geolocazione,telefono,fax,mobile,email,web,tipi,tipi-specifici,agenzia.intestazione,consolato.stato,consolato.console,consolato.pec,consolato.orari.giorni,consolato.orari.apertura,consolato.orari.chiusura,consolato.orari.note,accoglienza.stelle,accoglienza.camere,accoglienza.sale_meeting,accoglienza.residences,accoglienza.descrizione,accoglienza.direttore,accoglienza.gestione,divertimento-e-ristoro.cucina,divertimento-e-ristoro.orari.giorni,divertimento-e-ristoro.orari.apertura,divertimento-e-ristoro.orari.chiusura,divertimento-e-ristoro.orari.note,divertimento-e-ristoro.informazioni,luoghi-da-visitare.orari.giorni,luoghi-da-visitare.orari.apertura,luoghi-da-visitare.orari.chiusura,luoghi-da-visitare.orari.note,luoghi-da-visitare.orari.visite,luoghi-da-visitare.orari.servizi,luoghi-da-visitare.orari.prezzi,luoghi-da-visitare.informazioni_storiche,luoghi-da-visitare.note,luoghi-da-visitare.gestore.nome,luoghi-da-visitare.gestore.indirizzo,luoghi-da-visitare.gestore.cap,luoghi-da-visitare.gestore.localita,luoghi-da-visitare.gestore.mobile,luoghi-da-visitare.gestore.telefono,luoghi-da-visitare.gestore.fax,luoghi-da-visitare.gestore.email,luoghi-da-visitare.gestore.web,icon
93,SLG Travel,"Via Montalbo, 1/e",,90142,,Palermo,,091/371872,091/311686,,info@slgtravel.it,,Agenzia di viaggi,,SLG Travel di Bova Maria Grazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
107,Esedra Viaggi,"Via Trapani, 12/14/16",,90141,,Palermo,,091/323435,091/326919,,info@esedraviaggi.com,www.esedraviaggi.com,Agenzia di viaggi,,Esedra viaggi S.r.l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
108,Tatamaro Viaggi,"Via Pietro Scaglione, 6",,90145,,Palermo,,091/851311,091/851008,,tatamaroviaggi@hotmail.it,www.tatamaroviaggi.it,Agenzia di viaggi,,Tatamaro Viaggi di Ivan Vitrano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
110,Tour and Travelling,"Via Messina, 7/a",,90141,,Palermo,,091/31841,091/123403,,info@tourandtravelling.it,www.weddingtosicily.com,Agenzia di viaggi,,Mondi e Culture Viaggi e Turismo s.n.c.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
114,Fevi Tour,"Via Briuccia, 84",,90146,,Palermo,,091/512649,091/14734,,info@fevitour.it,www.fevitour.it,Agenzia di viaggi,,Briuccia Travel By Fevi Tour di Pietro Catalano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
116,Flambò Tour,"Via Nicolò Garzilli, 38/a",,90141,,Palermo,,091/6254321,091/348517,,info@flambotour.it,www.flambotour.it,Agenzia di viaggi,,Flambò Tour S.r.l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
117,Travel Sicily,"Largo Trinacria, 20",,90144,,Palermo,,091/31865,091/26286,,promotour@libero.it,,Agenzia di viaggi,,Promotour s.r.l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
120,Furlan Viaggi,"Via Dante, 56/c",,90141,,Palermo,,091/6118483,091/326896,,furlanviaggi@hotmail.it,www.sicilysi.it,Agenzia di viaggi,,Dante Viaggi S.a.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
136,Virtus Viaggi e Turismo,"Via Maqueda, 260",,90134,,Palermo,,091/014515,091/809893,,virtusviaggi@libero.it,www.virtusviaggi.it,Agenzia di viaggi,,Virtus Viaggi e Turismo s.n.c.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
138,World Of Tui,"Piazza Giovanni Amendola, 15",,90141,,Palermo,,091/121276,091/093124,,palermo1@tui.it,www.tui.it,Agenzia di viaggi,,Easy Market S.p.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
8,Guccione Viaggi,"Via Ammiraglio Gravina, 80",,90139,,Palermo,,091/81146,091/24808,,mail@guccioneviaggi.it,www.guccioneviaggi.it,Agenzia di viaggi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
17,Air Antoloving Viaggi e Vacanze,"Via Maqueda, 231",,90133,,Palermo,,091/6118599,091/6121472,,antoloving@gmail.com,www.antoloving.com,Agenzia di viaggi,,Air Antoloving Viaggi e Vacanze di Hossain Mamun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
9,Aeroviaggi,"Via XII gennaio, 1/c",,90141,,Palermo,,091/333370,091/584194,,succursale@aeroviaggi.it,www.aeroviaggi.it,Agenzia di viaggi,,Aeroviaggi S.p.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
25,Kalesa Viaggi,"Corso Calatafimi, 801",,90129,,Palermo,,091/572262,091/572263,,info@kalesaviaggi.it,www.kalesaviaggi.it,Agenzia di viaggi,,Kalesa Viaggi S.n.c.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
27,Alechiari Viaggi & Turismo,Via San Lorenzo 91/c,,90146,,Palermo,,091/6886365,091/887133,,alechiari@tiscali.it,www.alechiari-viaggi.com,Agenzia di viaggi,,Mercurio S.r.l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
31,Amnesia Viaggi e Turismo,"Via Nicolò Turrisi, 33",,90138,,Palermo,,091/9821723,091/8430778,,booking@amnesiaviaggi.it,www.amnesiaviaggi.it,Agenzia di viaggi,,Amnesia Viaggi di Damiata Gaetano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
32,Lai Viaggi,"Piazza San Francesco di Paola, 23",,90138,,Palermo,,091/83728,091/89995,,info@laiviaggi.it,www.laiviaggi.it,Agenzia di viaggi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
33,Arcadelphi Viaggi Succ.,"Via P. Paternostro, 10",,90144,,Palermo,,091/6118108,091/86607,,giovanna.caridi@arcadelphi.com,,Agenzia di viaggi,,Arcadelphi Viaggi S.r.l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
34,Landolina Viaggi e Turismo,"Via Marchese di Villabianca, 82/C",,90143,,Palermo,,091/00529,091/259787,,info@landolinaviaggi.it,www.landolinaviaggi.it,Agenzia di viaggi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
36,Laurum Viaggi,"Via Alloro, 113",,90133,,Palermo,,091/817303,091/171109,,laurumviaggi@gmail.com,,Agenzia di viaggi,,Laurum Viaggi di Vernengo Vita Grazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
37,Azania Viaggi,"Via Mariano Stabile, 94",,90139,,Palermo,,091/321725,091/325468,,info@azaniaviaggi.eu,www.azaniaviaggi.eu,Agenzia di viaggi,,Azania Viaggi S.r.l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
63,Cape Land succ.,"Via Terrasanta, 59",,90141,,Palermo,,091/6251081,091/7309052,,info@capelandviaggi.com,,Agenzia di viaggi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
77,Coralia Viaggi,"Piazza due Palme, 13/14",,90133,,Palermo,,091/7811526,091/7495213,,coralia@essecitour.it,www.essecitour.it,Agenzia di viaggi,,Essecitour S.a.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
78,Piluna Viaggi,"Via Francesco Lo Iacono, 61",,90144,,Palermo,,091/3008779,091/303711,,pilunaviaggi@yahoo.it,,Agenzia di viaggi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
79,Pirelli Viaggi,"Via Giovanni Campolo, 16",,90145,,Palermo,,091/821888,091/834355,,mail@le-vacanze.it,www.le-vacanze.it,Agenzia di viaggi,,Le Vacanze Realizzabili s.r.l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
81,Premiere 2000 Sede,"Via Ausonia, 95",,90146,,Palermo,,091/19175,091/16180,,info@premiere2000.it,www.premiere2000.it,Agenzia di viaggi,,Viaggi 2000 s.a.s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
82,Crilù Travel,"Via Florestano Pepe, 13",,90139,,Palermo,,091/6622258,091/6092694,,crilutravel@tin.it,www.crilutravel.it,Agenzia di viaggi,,Sicilia insolita Crilutravel Coop.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
83,Rais Travel,"Via dei Nebrodi, 10",,90144,,Palermo,,091/28566,091/28572,,rais.travel@raistravel.com,www.raistravel.com,Agenzia di viaggi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
84,CT Travel,"Via Roccazzo, 88",,90135,,Palermo,,091/5071399,091/50771399,,citytravelpalermo@hotmail.it,,Agenzia di viaggi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
85,Rebayas Viaggi,"Via Mariano Accardo, 50",,90145,,Palermo,,091/865313,091/084748,,info@rebayasviaggi.it,www.rebayasviaggi.it,Agenzia di viaggi,,Rebayas Viaggi s.n.c.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
86,Ruggieri Giovanni & Figli,"Via Emerico Amari, 40",,90139,,Palermo,,091/87144,091/88464,,ruggieri@agenziaruggieri.it,www.agenziaruggieri.it,Agenzia di viaggi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
87,S. Tagliavia & C.,"Via Cavour, 117",,90133,,Palermo,,091/82533,091/84240,,mail@tagliavia.it,www.tagliavia.it,Agenzia di viaggi,,S. Tagliavia & C. s.r.l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
91,Daliomar Viaggi Sede,"Piazza Tommaso Natale, 53",,90147,,Palermo,,091/6911579,091/534000,,daliomarviaggi@neomedia.it,,Agenzia di viaggi,,Daliomar Viaggi di Isca Pietra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
92,Simon Travel,"Corso Calatafimi,164",,90129,,Palermo,,091/85171,091/84469,,booking@agecoturs.com,www.agecoturs.com,Agenzia di viaggi,,Simon Travel s.r.l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
96,Diodoro Travel,"Via Principe di Palagonia, 82/f",,90145,,Palermo,,091/6852821,091/6851661,,info@diodorotravel.it,www.diodorotravel.it,Agenzia di viaggi,,Diodoro Travel S.p.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
97,Disegni di Viaggio,"Via Giuseppe Sciuti, 77/a",,90144,,Palermo,,091/7743371,091/8771459,,disegnidiviaggio@live.it,www.disegnidiviaggio.it,Agenzia di viaggi,,Elleti S.r.l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
98,Soleventi & Tour,"Via Serradifalco, 206",,90145,,Palermo,,091/813195,091/486732,,info@soleventietour.com,www.soleventitour.com,Agenzia di viaggi,,Soluzione Eventi & Turismo s.r.l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
99,Sopravvoliamo Viaggi,"Piazza Ottavio Ziino, 32",,90145,,Palermo,,091/851438,091/851435,,sopravv@tin.it,,Agenzia di viaggi,,Sopravvoliamo Viaggi di Prosp. Soc. Coop. a r.l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
100,Eiffel Viaggi,"Via Costantino Nigra, 69",,90129,,Palermo,,091/7308443,091/7829552,,info@eiffelviaggi.it,www.eiffelviaggi.it,Agenzia di viaggi,,Axia Viaggi di Badalamenti Loredana S.a.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
102,Strasburgo Viaggi,"Via Olanda, 23/a",,90146,,Palermo,,091/16434,091/786692,,strasburgoviaggi@libero.it,www.strasburgoviaggi.it,Agenzia di viaggi,,G.M. Travel di Manlio Di Giorgi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
103,Eliadi Viaggi,"Via T. Tasso, 76",,90144,,Palermo,,091/828007,091/7828007,,eliadipi@eliadiviaggi.191.it,,Agenzia di viaggi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
104,Sullivan Viaggi,"Via Petrarca, 20",,90144,,Palermo,,091/254086,091/44333,,sullivanviaggi@libero.it,,Agenzia di viaggi,,Sicilia Bella s.r.l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
105,Erre2viaggi,"Via Giuseppe Alessi, 10",,90143,,Palermo,,091/345563,091/340321,,ronchi@erredueviaggi.it,www.erredueviaggi.it,Agenzia di viaggi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
106,T Travel,Calata Marinai d'Italia Sn,,90139,,Palermo,,091/573358,091/118841,,agepa.gambino@tirrenia.it,,Agenzia di viaggi,,Placido Mancuso e Figli Tour s.r.l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
109,Esse Più Viaggi,"Via Catania, 23",,90141,,Palermo,,091/302439,091/7826099,,info@essepiuviaggi.it,www.essepiuviaggi.it,Agenzia di viaggi,,Esse Più Viaggi di Sicilia Concetta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
111,Estamar Viaggi e Turismo,"P.zza Castelnuovo, 35",,90141,,Palermo,,091/333955,091/321695,,info@coretur.it,,Agenzia di viaggi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
15,In Vacanza,"Viale Strasburgo, 167",,90146,,Palermo,,091/12633,091/434762,,invacanzarl@libero.it,www.invacanzasicilia.com,Agenzia di viaggi,,In Vacanza S.c.a.r.l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
16,Inpoltronissima,"Via Michele Amari, 6",,90139,,Palermo,,091/115050,091/817390,,vincenzo.carlisi@inpoltronissima.it,www.inpoltronissima.it,Agenzia di viaggi,,Inpoltronissima S.r.l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
18,Iopitur Service Itinerarium Succ.,"Via Giacomo Puccini, 54",,90144,,Palermo,,091/873746,091/486756,,fabriziomistretta@iopitourpalermo.it,www.iopitourpalermo.it,Agenzia di viaggi,,Centro Itinerarium di Iozzia Giuseppa & C. s.a.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
28,Kukla Viaggi & Turismo Sede,"Via Enrico Albanese, 31",,90139,,Palermo,,091/124546,091/124546,,info@kuklaviaggi.com,www.kuklaviaggi.it,Agenzia di viaggi,,Kukla Viaggi Soc. Coop.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
41,Marras Viaggi,"Corso Alberto Amedeo, 168",,90138,,Palermo,,091/222240,091/072473,,info@marrasviaggi.com,www.marrasviaggi.com,Agenzia di viaggi,,Marras Viaggi di Marras Francesco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
43,Mashia Travel,"Piazza Giulio Cesare, 8",,90127,,Palermo,,091/176941,091/176941,,dilorenzotravel@virgilio.it,,Agenzia di viaggi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
44,Bopa Grandi Biglietterie,P.zza Giulio Cesare c/o Stazione di Palermo,,90127,,Palermo,,091/6161392,091/161392,,bgb.palermo@bopa.it,,Agenzia di viaggi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
52,Borzì Viaggi Succ.,"Via F. Lo Jacono, 22/c",,90144,,Palermo,,091//6255522,091/6255518,,borziviaggi@borziviaggi.it,www.borziviaggi.it,Agenzia di viaggi,,Borzì Viaggi della Borzì Alberto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
56,Nashe Viaggi,"Corso Finocchiaro Aprile, 188",,90138,,Palermo,,091/531016,091/531016,,palermo1@nasheviaggi.com,,Agenzia di viaggi,,Viaggiando s.r.l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
57,Nebrofood Viaggi e Turismo,"Via Aurispa, 70/a",,90145,,Palermo,,091/657106,091/657107,,agenziaviaggi@nebrofood.it,www.nebrofood.it,Agenzia di viaggi,,Nebrofood s.a.s di Dario La Mantia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
59,Calendario Viaggi,"via Nunzio Morello, 21",,90144,,Palermo,,091/6114545,091/6113939,,info@calendarioviaggi.com,www.calendarioviaggi.com,Agenzia di viaggi,,Holding Turismo S.p.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
65,Carthage Travel,Via M. Stabile. 97,,90139,,Palermo,,091/7811522,091/7811522,,infocarthagetravel@yahoo.it,www.carthagetravel.it,Agenzia di viaggi,,Carthage Travel S.r.l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
115,Tourist Travel Panormus,"Via Alessio Di Giovanni, 21",,90144,,Palermo,,091/02600,091/809840,,info@ponormusviaggi.it,www.panormusviaggi.it,Agenzia di viaggi,,Avvenire s.r.l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
118,Frangi Ritt Viaggi,"Viale Leonardo Da Vinci, 233",,90145,,Palermo,,091/400825,091/409036,,info@frangirittviaggi.com,www.frangirittviaggi.com,Agenzia di viaggi,,Frangi Ritt Viaggi e Turismo di Aldo Ciprì & c. S.a.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
119,TRAVEL360,"Via Marchese Ugo, 72",,90141,,Palermo,,091/089224,091/089220,,info@gruppo360.com,www.travel360palermo.it,Agenzia di viaggi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
121,Travelbag,"Via Michele Amari, 13",,90139,,Palermo,,091/431085,091/431085,,pietro.diquarto@travelbag.it,www.azservizi-pa.it,Agenzia di viaggi,,AZ Servizi di Marsia Marika,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
122,Traveleze,"Via Notarbartolo, 49",,90141,,Palermo,,091/45758,091/828239,,info@traveleze.it,,Agenzia di viaggi,,Traveleze s.r.l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
123,Gamma Viaggi,"Via Brunetto Latini, 11",,90141,,Palermo,,091/582258,091/6629016,,gammaviaggi@gmail.com,,Agenzia di viaggi,,Gamma Viaggi S.r.l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
125,Travellink,"Via Emilia, 35",,90146,,Palermo,,091/523153,091/195385,,travellink.srl@libero.it,,Agenzia di viaggi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
126,Gianniviaggi,"Via Praga, 48",,90143,,Palermo,,091/6372519,091/6372482,,info@stsitalia.it,wwwstsitalia.it,Agenzia di viaggi,,Sicilian Tourist Service S.r.l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
127,Trinacria Viaggi,"Via Maggiore Toselli, 28",,90143,,Palermo,,091/44376,091/48055,,trinacriaviaggi@libero.it,,Agenzia di viaggi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
128,Gigatour,"Via del Quarnaro, 14",,90141,,Palermo,,091/6851471,091/229914,,info@gigatour.it,www.gigatour.it,Agenzia di viaggi,,Li.La S.r.l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
129,Giosaltour Viaggi,"Via S. Puglisi, 15/17",,90143,,Palermo,,091/7302628,091/303150,,giosaltour@servizitalia.it,www.servizitalia.it,Agenzia di viaggi,,Servizitalia società Coop. a.r.l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
131,Globalsem Viaggi,"Via Giusino, 51",,90146,,Palermo,,091/7848420,02/30132407,,info@globalsemviaggi.it,www.globalsemviaggi.it,Agenzia di viaggi,,Globalsem S.r.l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
132,Viaggiando con Marco Polo,"Viale Strasburgo, 385 a/b",,90146,,Palermo,,091/831570,091/831569,,viaconmarcopolo@gmail.com,,Agenzia di viaggi,,Marcopolo Viaggi S.a.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
135,Virgilio Viaggi,"Piazza Virgilio, 16",,90146,,Palermo,,091/23751,091/117747,,info@virgilioviaggi.com,www.virgilioviaggi.com,Agenzia di viaggi,,Controvento di Iraci Consuelo S.a.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
137,Volare Together,"Via C. Raiti, 4",,90128,,Palermo,,091/90221,091/455594,,infovolare@libero.it,www.volaretogether.it,Agenzia di viaggi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
139,Zaessen Viaggi,"Via Malaspina, 35",,90145,,Palermo,,091/117538,091/197027,,zaessenviaggi@alice.it,www.zaessenviaggi.it,Agenzia di viaggi,,Zaessen Viaggi di Villafranca Rosalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
5,Tourplus Sicilia,"Via Libertà, 103",,90143,,Palermo,,091/349357,091/349195,,info@tourplus.com,www.tourplus.com,Agenzia di viaggi,,Tour Plus Sicilia S.r.l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
7,Adularia Viaggi,"C.so Calatafimi, 724",,90129,,Palermo,,091/6681856,091/6681395,,info @adulariaviaggi.com,www.adulariaviaggi.com,Agenzia di viaggi,,Adularia Viaggi S.n.c.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
6,Acitour Palermo,"Via Principe di Paternò, 85",,90144,,Palermo,,091/6257574,091/6250543,,info@acitour.it,www.acitourviaggi.it,Agenzia di viaggi,,Acitour Palermo S.r.l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
12,I Viaggi del sud,"Via Napoli, 52",,90133,,Palermo,,091/84573,091/20662,,viaggiansa@libero.it,www.iviaggidelsud.it,Agenzia di viaggi,,ANSA S.r.l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
13,I Voyages succ.,"Via Valderice, 11",,90144,,Palermo,,091/18293,091/18293,,ivoyagespalermo@hotmail.com,,Agenzia di viaggi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
29,Alternative Sicily,"Via Sammartino, 9",,90141,,Palermo,,091/6127093,091/8041071,,info@alternativesicily.com,www.alternativesicily.com,Agenzia di viaggi,,Alternative DMC S.r.l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
