Tipo|Nome del sito|descrizione del sito|indirizzo|info|orario ingresso|note orario ingresso|biglietto|indirizzo mail|sito web|note visite guidate|accessibilità
Chiese e Oratori|Chiesa di S. Francesco Saverio (1710)|Chiesa|Piazza S. Francesco Saverio|tel. 091 6517052 - 328 3227667|Da domenica a venerdì dalle 9 alle 13 (la domenica anche 18.30 alle 20.30 per funzione religiosa) ingresso da via Vesalio suonando alla A.GE.DO.|Chiusa Sabato|||||
Chiese e Oratori|Chiesa di S. Gioacchino al Collegio Maria all'Olivella (1727)|Chiesa|Via Patania|tel. 091 581058|da Lunedì a Sabato dalle 6,40 alle 7.40. Domenica e festivi dalle 7.15 alle 8|E' possibile visitare la Chiesa in altri orari su prenotazione telefonica|||||
Chiese e Oratori|Chiesa di S. Giorgio dei Genovesi (1576)|Chiesa|Piazza S. Giorgio dei Genovesi|tel. 091 332779 - 333 9430999(Info e prenotazioni)|ORARIO INVERNALE (Novembre - Marzo) da lunedì a sabato dalle 9 alle 16. ORARIO ESTIVO (Aprile - Ottobre) da lunedì a venerdì dalle 9 alle 18|Chiusa Domenica|intero  5,00 - ridotto  4,00 per universitari e gruppi (minimo 10 persone)  ridotto euro 1,00 per studenti da 7 a 17 anni - gratuito per bambini fino ai 6 anni, religiosi, diversamente abili e accompagnatori, giornalisti, guide e capigruppo. n.b. Col ticket d'ingresso sono visitabili gli Oratori (S.Cita e SS.Rosario in S.Domenico). Le chiese sono sempre ad ingresso gratuito.||www.santacita.it|La Chiesa fa parte del Circuito dei "tesori della loggia"  che comprende l'Oratorio di S. Cita la Chiesa di S. Mamiliano (o Cita)  SS.Rosario in S.Domenico  S.Giorgio dei Genovesi - S.Maria in Valverde|
Chiese e Oratori|Chiesa di S. Giovanni degli Eremiti (1148)|Chiesa|Via dei Benedettini|tel. 091 6515019|da Martedì a Sabato dalle 9 alle 19. Lunedì, domenica e festivi infrasettimanali dalle 9 alle 13.30.||costi: intero  6,00 - ridotto  3,00 dai 18 ai 25 anni e corpo docente -  1,00 per residenti a Palermo - gratuito per minorenni, over 65 della C.E. e scolaresche previo accordo||||
Chiese e Oratori|Chiesa di S. Giovanni dei Lebbrosi (1071)|chiesa|Via Cappello, 38|tel. 091 475024|giorni feriali dalle 9 alle 11 e dalle 16 alle 19. Domenica e festivi dalle 7.30 alee 12.30||||||
Chiese e Oratori|Chiesa di S. Giovanni dei Napoletani (1526) |Chiesa|Corso Vittorio Emanuele (angolo Piazza Marina)||Giovedì dalle 12.30 alle 16.30 - Sabato dalle 16.30 alle 19.30 - 3° Sabato del mese dalle 17.30 alle 19||||||
Chiese e Oratori|Chiesa di S. Giuseppe Cafasso  (1765) (ex S. Giorgio in Kemonia) |chiesa|Via dei Benedettini, 16|tel. 091 6518223 - 091 3822777|dal Lunedì al Sabato dalle 8 alle 12 e dalle 16,30 alle 19 Domenica e festivi dalle 9 alle 12|Novità: da metà Maggio visitabile anche la torre e il campanile della Chiesa, da lunedì a sabato dalle 10.30 alle 15.30.|costi: contributo d'ingresso  1,50 (accesso torre)||www.sangiuseppecafasso.arcidiocesi.palermo.it||
Chiese e Oratori|Chiesa di S. Giuseppe dei Teatini (1645)|chiesa|Piazza Pretoria - Corso Vittorio Emanuele|tel. 091 331239|dal 15 Settembre al 15 Luglio da Lunedì a Sabato dalle 7.30 alle 12 e dalle 17.30 alle 20 - Domenica e festivi dalle 8.30 alle 13.15 e dalle 18 alle 20 - dal 16/7 al 14/9 da Lunedì a Sabato dalle 7.30 alle 11 e dalle 18.15 alle 20||costi: contributo d'ingresso offerta libera||www.sangiuseppeteatini.arcidiocesi.palermo.it||
Chiese e Oratori|Chiesa di S. Gregorio Papa (1688)|Chiesa|Via Porta di Carini|tel. 091 583791|giorni feriali dalle 7.45 alle 11, festivi dalle 7.45 alle 12.30||||||
Chiese e Oratori|Chiesa di S. Ignazio Martire all'Olivella dei Padri Filippini (1622)|chiesa|Piazza Olivella |tel. 091 586867|tutti i giorni, festivi compresi, dalle 7.50 alle 10 e dalle 17 alle 18.30  ||||||
Chiese e Oratori|Chiesa di S. Ippolito (orig.1267)|Chiesa|Via Porta Carini, 33|tel. 091 328430|da Lunedi a Sabato dalle 8.00 alle 11.30 - Domenica e festivi dalle 8 alle 12.||||www.santippolito.arcidiocesi.palermo.it||
Chiese e Oratori|Chiesa di S. Maria in Valverde (1633)|chiesa|Piazza S. Valverde, 3|tel. 091 332779 - 091 8431605 (Info e prenotazioni)|ORARIO INVERNALE (Novembre - Marzo) da lunedì a sabato dalle 9 alle 16. ORARIO ESTIVO (Aprile - Ottobre) da lunedì a venerdì dalle 9 alle 18|Chiusa Domenica|costi: intero  5,00 - ridotto  4,00 per universitari e gruppi (minimo 10 persone)  ridotto euro 1,00 per studenti da 7 a 17 anni - gratuito per bambini fino ai 6 anni, religiosi, diversamente abili e accompagnatori, giornalisti, guide e capigruppo. n.b. Col ticket d'ingresso sono visitabili gli Oratori (S.Cita e SS.Rosario in S.Domenico). Le chiese sono sempre ad ingresso gratuito. ||www.santacita.it|La Chiesa fa parte del Circuito dei "tesori della loggia"  che comprende l'Oratorio di S. Cita la Chiesa di S. Mamiliano (o Cita)  SS.Rosario in S.Domenico  S.Giorgio dei Genovesi - S.Maria in Valverde|
Chiese e Oratori|Chiesa di S. Maria degli Angeli (La Gancia) (1490)|Chiesa|Via Alloro, 27|tel. 091 6165221|da Lunedì a Sabato dalle 9.30 alle 13.30||||||
Chiese e Oratori|Chiesa di S. Maria dei Miracoli (1547)|Chiesa|Piazza Marina|Chiusa al pubblico per restauro|Chiusa al pubblico per restauro||||||
Chiese e Oratori|Chiesa di S. Maria del Carmine (1667)|Chiesa|Piazza del Carmine|tel:  091 6512018|da Lunedi a Domenica dalle 9 alle 11.|Il pomeriggio visitabile solo per gruppi previa richiesta tel. Visite sospese durante la messa|||||
Chiese e Oratori|Chiesa (di S.Maria) della Catena (1490)|Chiesa|Piazzetta delle Dogane|tel. 091 321529|tutti i giorni dalle 10 alle 18||costo: intero  2,50 - ridotto  1,50 per gruppi min.10 pax con ausilio guida||www.amicimuseisiciliani.it||
Chiese e Oratori|Chiesa di S. Maria della Pietà (1684)|Chiesa|Via Torremuzza, 1|tel. 091 6165266|da Lunedì a Sabato dalle 9 alle 12 e dalle 16 alle 19 Domenica e festivi dalle 8 alle 12||||||
Chiese e Oratori|Chiesa di S. Maria di Portosalvo (1526)|Chiesa|Piazza Marina|da Lunedì a Sabato dalle 7 alle 10 - Domenica e festivi dalle 10.30 alle 13|||||||
Chiese e Oratori|Chiesa di S. Maria in valverde (1633)|Chiesa|Piazza S. Giorgio dei Genovesi|tel. 091 332779 - 091 8431605 (Info e prenotazioni)|ORARIO INVERNALE (Novembre - Marzo) da lunedì a sabato dalle 9 alle 16. ORARIO ESTIVO (Aprile - Ottobre) da lunedì a venerdì dalle 9 alle 18|Chiusa Domenica|intero  5,00 - ridotto  4,00 per universitari e gruppi (minimo 10 persone)  ridotto euro 1,00 per studenti da 7 a 17 anni - gratuito per bambini fino ai 6 anni, religiosi, diversamente abili e accompagnatori, giornalisti, guide e capigruppo. n.b. Col ticket d'ingresso sono visitabili gli Oratori (S.Cita e SS.Rosario in S.Domenico). Le chiese sono sempre ad ingresso gratuito. ||www.santacita.it|La Chiesa fa parte del Circuito dei "tesori della loggia"  che comprende l'Oratorio di S. Cita la Chiesa di S. Mamiliano (o Cita)  SS.Rosario in S.Domenico  S.Giorgio dei Genovesi - S.Maria in Valverde|
Chiese e Oratori|Chiesa di S. Maria La Nuova (1534)|Chiesa|Piazza S. Giacomo la Marina, 13|tel. 091 326597|da lunedì a sabato dalle 9 alle 11, domenica dalle 9 alle 13||||||
Chiese e Oratori|Chiesa di S. Mattia ai Crociferi|Chiesa|Via Torremuzza (entrata da Foro Umberto I, 14)|tel. 091 740 6903 (sede dell'Assessorato al "centro storico")|Chiusa per restauri|Chiusa per restauri|||||
Chiese e Oratori|Chiesa di S. Nicolò da Tolentino (1495)|Chiesa|Via Maqueda, 159|tel. 091 6163013||da ottobre a giugno tutti i giorni dalle 9 alle 12 e dalle 16.30 alle 18.30. Da luglio a settembre dal lunedì al sabato dalle 9 alle 12 il sabato anche dalle 16.30 alle 18.30|||||
Chiese e Oratori|Chiesa di S. Nicolo di Bari all'Albergheria (1330)|chiesa|Via Nunzio Nasi, 18|tel. 091 6512820|da lunedì a sabato dalle 9 alle 12 e dalle 16.30 19. Domenica e festivi dalle 9 alle 12.||||||
Chiese e Oratori|Chiesa di S. Ninfa dei Crociferi (1601)|chiesa|Via Maqueda, angolo via Celso 220|tel. 091 334838 |da Lunedì a Sabato dalle 8.30 alle 12.30 e dalle 16.30 alle 19.30 - Domenica dalle 8 alle 10 e dalle 16.30 alle 19.30|n.b. durante le funzioni religiose non sono ammessi visitatori|||||
Chiese e Oratori|Chiesa di S. Sebastiano (1516)|Chiesa|Via del Noviziato|tel. 091 326597 (S.Maria La Nuova)|orari: Sabato dalle 16.30 alle 18.00|Chiuso da Lunedi a Venerdi e Domenica Possibile visitare la Chiesa su prenotazione telefonica|||||
Chiese e Oratori|Chiesa di S. Stanislao Kostka (1705)|chiesa|Via del Noviziato|tel. 091 583859|da lunedì a venerdì dalle 8.50 alle 12 e dalle 16 alle 18. Domenica e festivi dalle 9 alle 12.||||www.stanislao.diocesipa.it||
Chiese e Oratori|Chiesa di S. Teresa alla Kalsa (1686)|chiesa|Piazza Kalsa|tel. 091 6171658|da Martedì a Domenica dalle 7 alle 11 e dalle 16 alle 19|Chiuso Lunedi |||||
Chiese e Oratori|Chiesa di Ss. Pietro e Paolo Apostoli (1880)|chiesa|Via Bentivegna 62, B|tel. 091 335485 - fax 091 6126843|da Lunedì a Sabato dalle 8 alle 12 e dalle 16.30 alle 20.30|Domenica e festivi dalle 8.30 alle 12.30 e dalle 19.30 alle 21.30 ;|||||
Chiese e Oratori|Duomo di Monreale (1174)|Duomo di Monreale, chiesa|Piazza Duomo - Monreale PA|tel. 091 6402424   |tutti i giorni dalle 8,30 alle 12,45 e dalle 14.30 alle 17.30 (dal 1 aprile al 31 ottobre) - tutti i giorni dalle 8,30 alle 12,45 e dalle 15.30 alle 17.30 (dal 1 novembre al 31 marzo).|n.b. per le visite di gruppi necessità una prenotazione telefonica. Per info 327 351 0886 (L- Mm - V  9/13) Possibile accedere tutti i giorni al "museo cappella roano" e alle "terrazze" da Lunedì a Sabato dalle 9 alle 13 e dalle 14.30 alle 17.30|contributo "d'ingresso" per la manutenzione e salvaguardia del Sito  1,50 - con ausilio di audioguida  5,00  "museo cappella roano" e alle "terrazze" contributo "d'ingresso" per la manutenzione e salvaguardia del "museo"  4,00 - delle "terrazze"  2,00||www.webdiocesi.chiesacattolica.it/sicilia/monreale||
Chiese e Oratori|Chiostro di Monreale|Chiostro, chiesa|Piazza Guglielmo il Buono - Monreale (PA)|tel. 091 6404403|Il Lunedì, domenica e festivi infrasettimanali dalle 9 alle 13.30. Da martedì - sabato dalle 9 alle 19.||intero  6,00 - ridotto  3,00 dai 18 ai 25 anni - gratuito per minorenni ed over 65.||www.palermotourism.com/datad/cultura/scheda.asp?id=1110||
Chiese e Oratori|Oratorio dei Bianchi (1505)|Oratorio|Piazzetta dei Bianchi|tel. 091 6173080 |Chiuso per restauri. L'Oratorio è visitabile soltanto al primo piano solo previa prenotazione telefonica (max 10 persone) Chiuso Lunedi|Visite guidate su richiesta per gruppi. Per info 091 6230039 ||||Visite guidate su richiesta per gruppi. Per info 091 6230039 |
Chiese e Oratori|Oratorio del Carminello (1609)|Oratorio|Via Porta S. Agata, 5|tel. 329 2950170 |Domenica dalle 9 alle 12 Chiusa dal Lunedì al Sabato|Possibile visita dell'Oratorio su prenot. telefonica nei giorni feriali|||||
Chiese e Oratori|Oratorio del SS.Rosario in S. Domenico (1574)|Oratorio|Piazza S. Giorgio dei Genovesi|tel. 091 332779 - 091 8431605 (Info e prenotazioni)|ORARIO INVERNALE (Novembre - Marzo) da lunedì a sabato dalle 9 alle 16. ORARIO ESTIVO (Aprile - Ottobre) da lunedì a venerdì dalle 9 alle 18|Chiusa Domenica|costi: intero  5,00 - ridotto  4,00 per universitari e gruppi (minimo 10 persone)  ridotto euro 1,00 per studenti da 7 a 17 anni - gratuito per bambini fino ai 6 anni, religiosi, diversamente abili e accompagnatori, giornalisti, guide e capigruppo. n.b. Col ticket d'ingresso sono visitabili gli Oratori (S.Cita e SS.Rosario in S.Domenico). Le chiese sono sempre ad ingresso gratuito. ||www.santacita.it|L'Oratorio fa parte del Circuito dei "tesori della loggia"  che comprende l'Oratorio di S. Cita la Chiesa di S. Mamiliano (o Cita)  SS.Rosario in S.Domenico  S.Giorgio dei Genovesi - S.Maria in Valverde|
Chiese e Oratori|Oratorio di S. Caterina d'Alessandria (1638)|Oratorio|Via Monteleone, 50|tel. 091 302667|Chiuso al pubblico ||||www.santosepolcro.sicilia.it/chiese/s_caterina.htm||
Chiese e Oratori|Oratorio di S. Cita (1603)|Oratorio|Piazza S. Giorgio dei Genovesi|tel. 091 332779 - 091 8431605 (Info e prenotazioni)|ORARIO INVERNALE (Novembre - Marzo) da lunedì a sabato dalle 9 alle 16. ORARIO ESTIVO (Aprile - Ottobre) da lunedì a venerdì dalle 9 alle 18|Chiusa Domenica|costi: intero  5,00 - ridotto  4,00 per universitari e gruppi (minimo 10 persone)  ridotto euro 1,00 per studenti da 7 a 17 anni - gratuito per bambini fino ai 6 anni, religiosi, diversamente abili e accompagnatori, giornalisti, guide e capigruppo. n.b. Col ticket d'ingresso sono visitabili gli Oratori (S.Cita e SS.Rosario in S.Domenico). Le chiese sono sempre ad ingresso gratuito. ||web: www.santacita.it|L'Oratorio fa parte del Circuito dei "tesori della loggia"  che comprende l'Oratorio di S. Cita la Chiesa di S. Mamiliano (o Cita)  SS.Rosario in S.Domenico  S.Giorgio dei Genovesi - S.Maria in Valverde|
Chiese e Oratori|Oratorio di S. Filippo Neri (1593)|Oratorio|Via Roma 320/A|tel. 091 6091324|Chiuso per restauro||||www.oratoriosanfilipponeripalermo.org||
Chiese e Oratori|Oratorio di S. Lorenzo all'Immacolatella (1570)|Oratorio|Via dell'Immacolatella, 5|tel. 091 6118168 |orari: tutti i giorni dalle 10 alle 18 ||costo: intero  2,50 - ridotto  1,50 per gruppi min.10 pax con ausilio guida||www.amicimuseisiciliani.it||
MUSEI E GALLERIE D'ARTE|Cantieri Culturali alla Zisa|Gallerie d'arte|Via Paolo Gili, 4|tel. 091 6513485|Orari: da martedì a domenica dalle 9 alle 19   Chiuso Lunedì||||www.cantierizisa.it||
MUSEI E GALLERIE D'ARTE|Catacombe dei Cappuccini|Catacombe dei Cappuccini|Via Cappuccini, 1|tel. 091 6524156 -  329 4150462|tutti i giorni dalle 9 alle 13 e dalle 15 alle 18.||costi: intero  3,00||http://members.xoom.it/niria_di||
MUSEI E GALLERIE D'ARTE|Catacombe Paleocristiane di Porta d'Ossuna|Catacombe Paleocristiane di Porta d'Ossuna|Corso Alberto Amedeo, 110/112|tel. 091 546366 (prenotazione visite via fax)|1° Martedì di ogni mese dalle 10.30 alle 15.30||||||
MUSEI E GALLERIE D'ARTE|Ex Deposito Locomotive S. Erasmo|Ex Deposito Locomotive S. Erasmo Galleria d'arte|Via Messina Marine, 32|tel. 091 7308489 - fax 091 7308493   Il Sito è visitabile solo in occasione di mostre e/o eventi|||||||
MUSEI E GALLERIE D'ARTE|G.A.M. Galleria d' Arte Moderna|Complesso Monumentale di S. Anna ai Lattarini|Via Sant' Anna, 21  |tel. 091 8431605|da Martedì a Domenica e festivi dalle 9.30 alle 18.30 - Venerdì e Sabato chiusura alle 23 (ultimo ingresso ore 22) Chiuso Lunedì ||intero  7,00 ||web: www.galleriadartemodernapalermo.it||
MUSEI E GALLERIE D'ARTE|Galleria Regionale di Sicilia|Galleria Regionale di Sicilia - sede Palazzo Abatellis|Via Alloro, 4|tel. 091 6230011|da Martedì a Domenica e festivi dalle 9 alle 13  Chiuso Lunedì||intero  8,00 - ridotto  4,00 dai 18 ai 25 anni - ridotto  1,00 per residenti - gratuito per under 18 ed over 65 anni Chiuso Lunedì||www.regione.sicilia.it/beniculturali/palazzoabatellis||
MUSEI E GALLERIE D'ARTE|Chiesa di S. Matteo (1633)|Chiesa|Corso Vittorio Emanuele, 247|tel. 329 6198263|da Lunedì a Sabato dalle 10 alle 16.30 (fino al 30 aprile) dalle 10 alle 18 (dal 1 maggio) - Domenica e festivi dalle 9.30 alle 11||contributo d'ingresso  1,00||||
MUSEI E GALLERIE D'ARTE|Museo Archeologico Regionale "A. Salinas"|Museo Archeologico Regionale|Piazza Olivella, 24|tel. 091 6116805/6|orari: da Martedì a Venerdì dalle 8.30 alle 13.30 e dalle 14.30 alle 18.30 - Sabato, Domenica e festivi dalle 8.30 alle 13.30 Chiuso Lunedì||intero  4,00 - ridotto 1,00 per residenti Palermo - ridotto  2,00 per ragazzi dai 18 ai 25 anni - gratuito per under 18 ed over 65.||www.regione.sicilia.it/beniculturali/salinas||
MUSEI E GALLERIE D'ARTE|Museo Civico "Renato Guttuso"|Museo Civico|Via Rammacca, 9 Bagheria PA c/o Villa Cattolica|tel: 091 943902/4/6|da Martedì a Domenica e festivi dalle 9.30 alle 14 e dalle 15 alle 19.30 Chiuso Lunedì|Il museo resterà chiuso il 25 dicembre e il 1 gennaio|intero  5,00 - ridotto  4,00 per under 18 ed over 65 anni -  2,00 per scolaresche||web: www.museoguttuso.it||
MUSEI E GALLERIE D'ARTE|Museo d'Arte Contemporanea della Sicilia|Museo d'Arte Contemporanea della Sicilia - sede Palazzo Belmonte Riso|Corso Vittorio Emanuele, 365|tel: 091 587717|da Martedì a Domenica dalle 10 alle 20 (alle 22 il Giovedì e Venerdì) Chiuso Lunedì||intero  6,00 - ridotto  3,00 per universitari - ridotto  1,00 residenti - gratuito per under 18 ed over 65.||www.palazzoriso.it||
MUSEI E GALLERIE D'ARTE|Museo d' Arte Islamica|Museo d' Arte Islamica - Sede c/o Castello della Zisa|Piazza Guglielmo il Buono|tel: 091 6520269|da martedì a domenica dalle 9 alle 19. Domenica, lunedì e festivi infrasettimanali dalle 9 alle 13.30||||||
MUSEI E GALLERIE D'ARTE|Museo d'Arte Moderna "Giuseppe Sciortino"|Museo d'Arte Moderna|Piazza Guglielmo II, Monreale (Pa)|tel: 091 6564647|da lunedì a sabato dalle 8 alle 13 e dalle 15 alle 19 - Domenica e festivi dalle 9.00 alle 13||intero  3,00 - gratuito per under 18, over 65 anni e per scolaresche||||
MUSEI E GALLERIE D'ARTE|Museo del Giocattolo "Pietro Piraino"|Museo del Giocattolo - sede Palazzo Aragona Cutò|Via Consolare, 105 Bagheria PA |tel: 091 943803 / 1|da Martedì a Venerdì dalle 9 alle 13 e dalle 15 alle 18.30 Sabato e Domenica e festivi dalle 9 alle 13 Chiuso Lunedì||intero  4,00 - ridotto  3,00 per studenti e/o gruppi min. 10 pax -  2,00 per bambini fino a 6 anni - supplemento per guida, ove richiesta,  0,50 (su prenotazione)||museodelgiocattolo.org|guide su prenotazione|
MUSEI E GALLERIE D'ARTE|Museo del Mare (Arsenale Borbonico)|Museo del Mare (Arsenale Borbonico)|Via dell' Arsenale, 140 (ex Cristoforo Colombo)|tel. 091 361309 - 335 610 2379|da Martedì a Domenica dalle 9.30 alle 12.30 Chiuso Lunedì||ingresso  2,00||www.arsenaledipalermo.it||
MUSEI E GALLERIE D'ARTE|Museo del Risorgimento "V.E. Orlando"|Museo del Risorgimento|Piazza S. Domenico, 1   | tel. 091 582 774|da Lunedì al Venerdì dalle ore 10 alle 12 Chiuso Sabato,  Domenica e festivi||intero  4,00||www.storiapatria.it||
MUSEI E GALLERIE D'ARTE|Museo della Specola (Osservatorio Astronomico)|Osservatorio Astronomico|Piazza del Parlamento, 1|tel. 091 233 247 - 091 233 232||Il Sito momentaneamente rimane chiuso al pubblico|||www.astropa.unipa.it||
