accoglienza.sale_meeting,consolato.orari.apertura,cap,consolato.console,agenzia.intestazione,accoglienza.direttore,accoglienza.residences,id,tipi_specifici,divertimento-e-ristoro.orari.note,accoglienza.descrizione,accoglienza.stelle,divertimento-e-ristoro.cucina,consolato.pec,citta,fax,indirizzo,telefono,web,consolato.orari.note,divertimento-e-ristoro.orari.apertura,tipi,divertimento-e-ristoro.orari.giorni,consolato.orari.giorni,consolato.stato,email,divertimento-e-ristoro.orari.chiusura,accoglienza.gestione,accoglienza.camere,nome,divertimento-e-ristoro.informazioni,consolato.orari.chiusura,mobile
,,90142,,SLG Travel di Bova Maria Grazia,,,93,,,,,,,Palermo,0916311686,SLG Travel,0916371872,,,,agenzia di viaggi,,,,info@slgtravel.it,,,,SLG Travel,,,
,,90141,,Esedra viaggi S.r.l.,,,107,,,,,,,Palermo,091/326919,Esedra Viaggi,091/323435,www.esedraviaggi.com,,,agenzia di viaggi,,,,info@esedraviaggi.com,,,,Esedra Viaggi,,,
,,90145,,Tatamaro Viaggi di Ivan Vitrano,,,108,,,,,,,Palermo,0916851008,Tatamaro Viaggi,0916851311,www.tatamaroviaggi.it,,,agenzia di viaggi,,,,tatamaroviaggi@hotmail.it,,,,Tatamaro Viaggi,,,
,,90141,,Mondi e Culture Viaggi e Turismo s.n.c.,,,110,,,,,,,Palermo,0916123403,Tour and Travelling,091331841,www.weddingtosicily.com,,,agenzia di viaggi,,,,info@tourandtravelling.it,,,,Tour and Travelling,,,
,,90146,,Briuccia Travel By Fevi Tour di Pietro Catalano,,,114,,,,,,,Palermo,091514734,Fevi Tour,091/512649,www.fevitour.it,,,agenzia di viaggi,,,,info@fevitour.it,,,,Fevi Tour,,,
,,90141,,Flamb?? Tour S.r.l.,,,116,,,,,,,Palermo,091/348517,Flamb?? Tour,091/6254321,www.flambotour.it,,,agenzia di viaggi,,,,info@flambotour.it,,,,Flamb?? Tour,,,
,,90144,,Promotour s.r.l.,,,117,,,,,,,Palermo,091326286,Travel Sicily,091331865,,,,agenzia di viaggi,,,,promotour@libero.it,,,,Travel Sicily,,,
,,90141,,Dante Viaggi S.a.s.,,,120,,,,,,,Palermo,091/326896,Furlan Viaggi,091/6118483,www.sicilysi.it,,,agenzia di viaggi,,,,furlanviaggi@hotmail.it,,,,Furlan Viaggi,,,
,,90134,,Virtus Viaggi e Turismo s.n.c.,,,136,,,,,,,Palermo,0913809893,Virtus Viaggi e Turismo,0916014515,www.virtusviaggi.it,,,agenzia di viaggi,,,,virtusviaggi@libero.it,,,,Virtus Viaggi e Turismo,,,
,,90141,,Easy Market S.p.A.,,,138,,,,,,,Palermo,0916093124,World Of Tui,0916121276,www.tui.it,,,agenzia di viaggi,,,,palermo1@tui.it,,,,World Of Tui,,,
,,90139,,,,,8,,,,,,,Palermo,091324808,Guccione Viaggi,091581146,www.guccioneviaggi.it,,,agenzia di viaggi,,,,mail@guccioneviaggi.it,,,,Guccione Viaggi,,,
,,90133,,Air Antoloving Viaggi e Vacanze di Hossain Mamun,,,17,,,,,,,Palermo,091/6121472,Air Antoloving Viaggi e Vacanze,091/6118599,www.antoloving.com,,,agenzia di viaggi,,,,antoloving@gmail.com,,,,Air Antoloving Viaggi e Vacanze,,,
,,90141,,Aeroviaggi S.p.A.,,,9,,,,,,,Palermo,091/584194,Aeroviaggi,091/333370,www.aeroviaggi.it,,,agenzia di viaggi,,,,succursale@aeroviaggi.it,,,,Aeroviaggi,,,
,,90129,,Kalesa Viaggi S.n.c.,,,25,,,,,,,Palermo,0916572263,Kalesa Viaggi,0916572262,www.kalesaviaggi.it,,,agenzia di viaggi,,,,info@kalesaviaggi.it,,,,Kalesa Viaggi,,,
,,90146,,Mercurio S.r.l.,,,27,,,,,,,Palermo,0916887133,Alechiari Viaggi & Turismo,091/6886365,www.alechiari-viaggi.com,,,agenzia di viaggi,,,,alechiari@tiscali.it,,,,Alechiari Viaggi & Turismo,,,
,,90138,,Amnesia Viaggi di Damiata Gaetano,,,31,,,,,,,Palermo,091/8430778,Amnesia Viaggi e Turismo,091/9821723,www.amnesiaviaggi.it,,,agenzia di viaggi,,,,booking@amnesiaviaggi.it,,,,Amnesia Viaggi e Turismo,,,
,,90138,,,,,32,,,,,,,Palermo,091589995,Lai Viaggi,091583728,www.laiviaggi.it,,,agenzia di viaggi,,,,info@laiviaggi.it,,,,Lai Viaggi,,,
,,90144,,Arcadelphi Viaggi S.r.l.,,,33,,,,,,,Palermo,091586607,Arcadelphi Viaggi Succ.,091/6118108,,,,agenzia di viaggi,,,,giovanna.caridi@arcadelphi.com,,,,Arcadelphi Viaggi Succ.,,,
,,90143,,,,,34,,,,,,,Palermo,0916259787,Landolina Viaggi e Turismo,091300529,www.landolinaviaggi.it,,,agenzia di viaggi,,,,info@landolinaviaggi.it,,,,Landolina Viaggi e Turismo,,,
,,90133,,Laurum Viaggi di Vernengo Vita Grazia,,,36,,,,,,,Palermo,0916171109,Laurum Viaggi,0917817303,,,,agenzia di viaggi,,,,laurumviaggi@gmail.com,,,,Laurum Viaggi,,,
,,90139,,Azania Viaggi S.r.l.,,,37,,,,,,,Palermo,091/325468,Azania Viaggi,091/321725,www.azaniaviaggi.eu,,,agenzia di viaggi,,,,info@azaniaviaggi.eu,,,,Azania Viaggi,,,
,,90141,,,,,63,,,,,,,Palermo,091/7309052,Cape Land succ.,091/6251081,,,,agenzia di viaggi,,,,info@capelandviaggi.com,,,,Cape Land succ.,,,
,,90133,,Essecitour S.a.s.,,,77,,,,,,,Palermo,091/7495213,Coralia Viaggi,091/7811526,www.essecitour.it,,,agenzia di viaggi,,,,coralia@essecitour.it,,,,Coralia Viaggi,,,
,,90144,,,,,78,,,,,,,Palermo,0917303711,Piluna Viaggi,09173008779,,,,agenzia di viaggi,,,,pilunaviaggi@yahoo.it,,,,Piluna Viaggi,,,
,,90145,,Le Vacanze Realizzabili s.r.l.,,,79,,,,,,,Palermo,0916834355,Pirelli Viaggi,0916821888,www.le-vacanze.it,,,agenzia di viaggi,,,,mail@le-vacanze.it,,,,Pirelli Viaggi,,,
,,90146,,Viaggi 2000 s.a.s,,,81,,,,,,,Palermo,091516180,Premiere 2000 Sede,091519175,www.premiere2000.it,,,agenzia di viaggi,,,,info@premiere2000.it,,,,Premiere 2000 Sede,,,
,,90139,,Sicilia insolita Crilutravel Coop.,,,82,,,,,,,Palermo,091/6092694,Cril?? Travel,091/6622258,www.crilutravel.it,,,agenzia di viaggi,,,,crilutravel@tin.it,,,,Cril?? Travel,,,
,,90144,,,,,83,,,,,,,Palermo,091528572,Rais Travel,091528566,www.raistravel.com,,,agenzia di viaggi,,,,rais.travel@raistravel.com,,,,Rais Travel,,,
,,90135,,,,,84,,,,,,,Palermo,091/50771399,CT Travel,091/5071399,,,,agenzia di viaggi,,,,citytravelpalermo@hotmail.it,,,,CT Travel,,,
,,90145,,Rebayas Viaggi s.n.c.,,,85,,,,,,,Palermo,0915084748,Rebayas Viaggi,0916865313,www.rebayasviaggi.it,,,agenzia di viaggi,,,,info@rebayasviaggi.it,,,,Rebayas Viaggi,,,
,,90139,,,,,86,,,,,,,Palermo,091588464,Ruggieri Giovanni & Figli,091587144,www.agenziaruggieri.it,,,agenzia di viaggi,,,,ruggieri@agenziaruggieri.it,,,,Ruggieri Giovanni & Figli,,,
,,90133,,S. Tagliavia & C. s.r.l.,,,87,,,,,,,Palermo,091584240,S. Tagliavia & C.,091582533,www.tagliavia.it,,,agenzia di viaggi,,,,mail@tagliavia.it,,,,S. Tagliavia & C.,,,
,,90147,,Daliomar Viaggi di Isca Pietra,,,91,,,,,,,Palermo,091/534000,Daliomar Viaggi Sede,091/6911579,,,,agenzia di viaggi,,,,daliomarviaggi@neomedia.it,,,,Daliomar Viaggi Sede,,,
,,90129,,Simon Travel s.r.l.,,,92,,,,,,,Palermo,091484469,Simon Travel,091485171,www.agecoturs.com,,,agenzia di viaggi,,,,booking@agecoturs.com,,,,Simon Travel,,,
,,90145,,Diodoro Travel S.p.a.,,,96,,,,,,,Palermo,091/6851661,Diodoro Travel,091/6852821,www.diodorotravel.it,,,agenzia di viaggi,,,,info@diodorotravel.it,,,,Diodoro Travel,,,
,,90144,,Elleti S.r.l.,,,97,,,,,,,Palermo,091/8771459,Disegni di Viaggio,091/7743371,www.disegnidiviaggio.it,,,agenzia di viaggi,,,,disegnidiviaggio@live.it,,,,Disegni di Viaggio,,,
,,90145,,Soluzione Eventi & Turismo s.r.l,,,98,,,,,,,Palermo,0917486732,Soleventi & Tour,0916813195,www.soleventitour.com,,,agenzia di viaggi,,,,info@soleventietour.com,,,,Soleventi & Tour,,,
,,90145,,Sopravvoliamo Viaggi di Prosp. Soc. Coop. a r.l.,,,99,,,,,,,Palermo,0916851435,Sopravvoliamo Viaggi,0916851438,,,,agenzia di viaggi,,,,sopravv@tin.it,,,,Sopravvoliamo Viaggi,,,
,,90129,,Axia Viaggi di Badalamenti Loredana S.a.s.,,,100,,,,,,,Palermo,091/7829552,Eiffel Viaggi,091/7308443,www.eiffelviaggi.it,,,agenzia di viaggi,,,,info@eiffelviaggi.it,,,,Eiffel Viaggi,,,
,,90146,,G.M. Travel di Manlio Di Giorgi,,,102,,,,,,,Palermo,0916786692,Strasburgo Viaggi,091516434,www.strasburgoviaggi.it,,,agenzia di viaggi,,,,strasburgoviaggi@libero.it,,,,Strasburgo Viaggi,,,
,,90144,,,,,103,,,,,,,Palermo,091/7828007,Eliadi Viaggi,0917828007,,,,agenzia di viaggi,,,,eliadipi@eliadiviaggi.191.it,,,,Eliadi Viaggi,,,
,,90144,,Sicilia Bella s.r.l.,,,104,,,,,,,Palermo,091344333,Sullivan Viaggi,0916254086,,,,agenzia di viaggi,,,,sullivanviaggi@libero.it,,,,Sullivan Viaggi,,,
,,90143,,,,,105,,,,,,,Palermo,091/340321,Erre2viaggi,091/345563,www.erredueviaggi.it,,,agenzia di viaggi,,,,ronchi@erredueviaggi.it,,,,Erre2viaggi,,,
,,90139,,Placido Mancuso e Figli Tour s.r.l.,,,106,,,,,,,Palermo,0916118841,T Travel,0917573358,,,,agenzia di viaggi,,,,agepa.gambino@tirrenia.it,,,,T Travel,,,
,,90141,,Esse Pi?? Viaggi di Sicilia Concetta,,,109,,,,,,,Palermo,091/7826099,Esse Pi?? Viaggi,091/302439,www.essepiuviaggi.it,,,agenzia di viaggi,,,,info@essepiuviaggi.it,,,,Esse Pi?? Viaggi,,,
,,90141,,,,,111,,,,,,,Palermo,091/321695,Estamar Viaggi e Turismo,091/333955,,,,agenzia di viaggi,,,,info@coretur.it,,,,Estamar Viaggi e Turismo,,,
,,90146,,In Vacanza S.c.a.r.l.,,,15,,,,,,,Palermo,0918434762,In Vacanza,091512633,www.invacanzasicilia.com,,,agenzia di viaggi,,,,invacanzarl@libero.it,,,,In Vacanza,,,
,,90139,,Inpoltronissima S.r.l.,,,16,,,,,,,Palermo,0917817390,Inpoltronissima,0916115050,www.inpoltronissima.it,,,agenzia di viaggi,,,,vincenzo.carlisi@inpoltronissima.it,,,,Inpoltronissima,,,
,,90144,,Centro Itinerarium di Iozzia Giuseppa & C. s.a.s.,,,18,,,,,,,Palermo,0917486756,Iopitur Service Itinerarium Succ.,0918873746,www.iopitourpalermo.it,,,agenzia di viaggi,,,,fabriziomistretta@iopitourpalermo.it,,,,Iopitur Service Itinerarium Succ.,,,
,,90139,,Kukla Viaggi Soc. Coop.,,,28,,,,,,,Palermo,0916124546,Kukla Viaggi & Turismo Sede,0916124546,www.kuklaviaggi.it,,,agenzia di viaggi,,,,info@kuklaviaggi.com,,,,Kukla Viaggi & Turismo Sede,,,
,,90138,,Marras Viaggi di Marras Francesco,,,41,,,,,,,Palermo,0915072473,Marras Viaggi,0913222240,www.marrasviaggi.com,,,agenzia di viaggi,,,,info@marrasviaggi.com,,,,Marras Viaggi,,,
,,90127,,,,,43,,,,,,,Palermo,0916176941,Mashia Travel,0916176941,,,,agenzia di viaggi,,,,dilorenzotravel@virgilio.it,,,,Mashia Travel,,,
,,90127,,,,,44,,,,,,,Palermo,0916161392,Bopa Grandi Biglietterie,091/6161392,,,,agenzia di viaggi,,,,bgb.palermo@bopa.it,,,,Bopa Grandi Biglietterie,,,
,,90144,,Borz?? Viaggi della Borz?? Alberto,,,52,,,,,,,Palermo,091/6255518,Borz?? Viaggi Succ.,091//6255522,www.borziviaggi.it,,,agenzia di viaggi,,,,borziviaggi@borziviaggi.it,,,,Borz?? Viaggi Succ.,,,
,,90138,,Viaggiando s.r.l,,,56,,,,,,,Palermo,0912531016,Nashe Viaggi,0912531016,,,,agenzia di viaggi,,,,palermo1@nasheviaggi.com,,,,Nashe Viaggi,,,
,,90145,,Nebrofood s.a.s di Dario La Mantia,,,57,,,,,,,Palermo,0917657107,Nebrofood Viaggi e Turismo,0917657106,www.nebrofood.it,,,agenzia di viaggi,,,,agenziaviaggi@nebrofood.it,,,,Nebrofood Viaggi e Turismo,,,
,,90144,,Holding Turismo S.p.a.,,,59,,,,,,,Palermo,091/6113939,Calendario Viaggi,091/6114545,www.calendarioviaggi.com,,,agenzia di viaggi,,,,info@calendarioviaggi.com,,,,Calendario Viaggi,,,
,,90139,,Carthage Travel S.r.l.,,,65,,,,,,,Palermo,091/7811522,Carthage Travel,091/7811522,www.carthagetravel.it,,,agenzia di viaggi,,,,infocarthagetravel@yahoo.it,,,,Carthage Travel,,,
,,90144,,Avvenire s.r.l.,,,115,,,,,,,Palermo,0913809840,Tourist Travel Panormus,091302600,www.panormusviaggi.it,,,agenzia di viaggi,,,,info@ponormusviaggi.it,,,,Tourist Travel Panormus,,,
,,90145,,Frangi Ritt Viaggi e Turismo di Aldo Cipr?? & c. S.a.s.,,,118,,,,,,,Palermo,091/409036,Frangi Ritt Viaggi,091/400825,www.frangirittviaggi.com,,,agenzia di viaggi,,,,info@frangirittviaggi.com,,,,Frangi Ritt Viaggi,,,
,,90141,,,,,119,,,,,,,Palermo,0915089220,TRAVEL360,0915089224,www.travel360palermo.it,,,agenzia di viaggi,,,,info@gruppo360.com,,,,TRAVEL360,,,
,,90139,,AZ Servizi di Marsia Marika,,,121,,,,,,,Palermo,0918431085,Travelbag,0918431085,www.azservizi-pa.it,,,agenzia di viaggi,,,,pietro.diquarto@travelbag.it,,,,Travelbag,,,
,,90141,,Traveleze s.r.l.,,,122,,,,,,,Palermo,0917828239,Traveleze,091345758,,,,agenzia di viaggi,,,,info@traveleze.it,,,,Traveleze,,,
,,90141,,Gamma Viaggi S.r.l.,,,123,,,,,,,Palermo,091/6629016,Gamma Viaggi,091/582258,,,,agenzia di viaggi,,,,gammaviaggi@gmail.com,,,,Gamma Viaggi,,,
,,90146,,,,,125,,,,,,,Palermo,0916195385,Travellink,0912523153,,,,agenzia di viaggi,,,,travellink.srl@libero.it,,,,Travellink,,,
,,90143,,Sicilian Tourist Service S.r.l.,,,126,,,,,,,Palermo,091/6372482,Gianniviaggi,091/6372519,wwwstsitalia.it,,,agenzia di viaggi,,,,info@stsitalia.it,,,,Gianniviaggi,,,
,,90143,,,,,127,,,,,,,Palermo,091348055,Trinacria Viaggi,091344376,,,,agenzia di viaggi,,,,trinacriaviaggi@libero.it,,,,Trinacria Viaggi,,,
,,90141,,Li.La S.r.l.,,,128,,,,,,,Palermo,091/229914,Gigatour,091/6851471,www.gigatour.it,,,agenzia di viaggi,,,,info@gigatour.it,,,,Gigatour,,,
,,90143,,Servizitalia societ?? Coop. a.r.l.,,,129,,,,,,,Palermo,091/303150,Giosaltour Viaggi,091/7302628,www.servizitalia.it,,,agenzia di viaggi,,,,giosaltour@servizitalia.it,,,,Giosaltour Viaggi,,,
,,90146,,Globalsem S.r.l.,,,131,,,,,,,Palermo,02/30132407,Globalsem Viaggi,091/7848420,www.globalsemviaggi.it,,,agenzia di viaggi,,,,info@globalsemviaggi.it,,,,Globalsem Viaggi,,,
,,90146,,Marcopolo Viaggi S.a.s.,,,132,,,,,,,Palermo,0917831569,Viaggiando con Marco Polo,0917831570,,,,agenzia di viaggi,,,,viaconmarcopolo@gmail.com,,,,Viaggiando con Marco Polo,,,
,,90146,,Controvento di Iraci Consuelo S.a.s.,,,135,,,,,,,Palermo,0916117747,Virgilio Viaggi,091323751,www.virgilioviaggi.com,,,agenzia di viaggi,,,,info@virgilioviaggi.com,,,,Virgilio Viaggi,,,
,,90128,,,,,137,,,,,,,Palermo,0916455594,Volare Together,091590221,www.volaretogether.it,,,agenzia di viaggi,,,,infovolare@libero.it,,,,Volare Together,,,
,,90145,,Zaessen Viaggi di Villafranca Rosalia,,,139,,,,,,,Palermo,0916197027,Zaessen Viaggi,0916117538,www.zaessenviaggi.it,,,agenzia di viaggi,,,,zaessenviaggi@alice.it,,,,Zaessen Viaggi,,,
,,90143,,Tour Plus Sicilia S.r.l.,,,5,,,,,,,Palermo,091/349195,Tourplus Sicilia,091/349357,www.tourplus.com,,,agenzia di viaggi,,,,info@tourplus.com,,,,Tourplus Sicilia,,,
,,90129,,Adularia Viaggi S.n.c.,,,7,,,,,,,Palermo,091/6681395,Adularia Viaggi,091/6681856,www.adulariaviaggi.com,,,agenzia di viaggi,,,,info @adulariaviaggi.com,,,,Adularia Viaggi,,,
,,90144,,Acitour Palermo S.r.l.,,,6,,,,,,,Palermo,091/6250543,Acitour Palermo,091/6257574,www.acitourviaggi.it,,,,,,,info@acitour.it,,,,Acitour Palermo,,,
,,90133,,ANSA S.r.l.,,,12,,,,,,,Palermo,091320662,I Viaggi del sud,091584573,www.iviaggidelsud.it,,,agenzia di viaggi,,,,viaggiansa@libero.it,,,,I Viaggi del sud,,,
,,90144,,,,,13,,,,,,,Palermo,091518293,I Voyages succ.,091518293,,,,agenzia di viaggi,,,,ivoyagespalermo@hotmail.com,,,,I Voyages succ.,,,
,,90141,,Alternative DMC S.r.l.,,,29,,,,,,,Palermo,091/8041071,Alternative Sicily,091/6127093,www.alternativesicily.com,,,agenzia di viaggi,,,,info@alternativesicily.com,,,,Alternative Sicily,,,
,,90144,,,,,39,,,,,,,Palermo,091/515155,Biba Tour,091/6703133,www.bibatour.com,,,agenzia di viaggi,,,,info@bibatour.com,,,,Biba Tour,,,
,,90145,,Borz?? Viaggi della Borz?? Alberto,,,47,,,,,,,Palermo,091/6820269,Borz?? Viaggi Sede,091/225511,www.borziviaggi.it,,,agenzia di viaggi,,,,borziviaggi@borziviaggi.it,,,,Borz?? Viaggi Sede,,,
,,90146,,S.T.S. s.r.l.,,,62,,,,,,,Palermo,0916315555,Novantacento Travel,0916371444,www.90100travel.it,,,agenzia di viaggi,,,,info@90100travel.it,,,,Novantacento Travel,,,
,,90144,,Pachamama Inca di Bica Anna Maria Gaetana,,,68,,,,,,,Palermo,091304148,Pachamama Inca,0917829682,www.pachamamainca.it,,,agenzia di viaggi,,,,bica@pachamamainca.it,,,,Pachamama Inca,,,
,,90129,,Conca D'Oro Viaggi S.r.l.,,,76,,,,,,,Palermo,091/487807,Conca D'Oro Viaggi,091/487288,www.concadoroviaggi.it,,,agenzia di viaggi,,,,salvo@concadoroviaggi.it,,,,Conca D'Oro Viaggi,,,
,,90129,,Si Planet di Maurizia Sicurella,,,89,,,,,,,Palermo,0916619093,Si Planet,091422212,www.siplanet.it,,,agenzia di viaggi,,,,info@siplanet.it,,,,Si Planet,,,
,,90125,,Si Viaggiare s.r.l.,,,90,,,,,,,Palermo,0916484100,Si Viaggiare,0916484410,www.siviaggiaresrl.it,,,agenzia di viaggi,,,,info@siviaggiaresrl.it,,,,Si Viaggiare,,,
,,90146,,Di Maria Service S.n.c.,,,94,,,,,,,Palermo,091/6700048,Di Maria Viaggi e Turismo,091/6700090,www.dimariaviaggi.it,,,agenzia di viaggi,,,,info@dimariaviaggi.it,,,,Di Maria Viaggi e Turismo,,,
,,90143,,Martello Global Company s.r.l,,,95,,,,,,,Palermo,091612438,Sogni Nel Blu,0916124380,www.sogninelblu.com,,,agenzia di viaggi,,,,sogninelblusicilia@sogninelblu.com,,,,Sogni Nel Blu,,,
,,90145,,Sabimar S.a.s.,,,101,,,,,,,Palermo,091/405118,Eleantour,091/405118,www.eleantour.it,,,agenzia di viaggi,,,,eleantour@libero.it,,,,Eleantour,,,
,,90123,,Garofalo Rosalia,,,124,,,,,,,Palermo,091/6216003,Garofalo Viaggi,091/6216445,,,,agenzia di viaggi,,,,garofaloviaggi@aliceposta.it,,,,Garofalo Viaggi,,,
,,90146,,Vigi Viaggi S.a.s. di Macaluso & C.,,,133,,,,,,,Palermo,0916883889,Vigi Viaggi,0916883889,www.vigiviaggi.it,,,agenzia di viaggi,,,,vigiviaggi@gmail.com,,,,Vigi Viaggi,,,
,,90134,,,,,140,,,,,,,Palermo,0917658617,Zaid Travels,0917658617,,,,agenzia di viaggi,,,,zaidtravels@libero.it,,,,Zaid Travels,,,
,,90127,,Aglieri Turismo Viaggi e Crociere di Aglieri Ignazio,,,11,,,,,,,Palermo,091/6100091,Aglieri Viaggi,091/6160672,,,,agenzia di viaggi,,,,aglieriviaggi@tiscali.it,,,,Aglieri Viaggi,,,
,,90128,,,,,19,,,,,,,Palermo,0916573338,Jato Travel World,0916573349,www.jatotravel.it,,,agenzia di viaggi,,,,e.basile@jatotravel.it,,,,Jato Travel World,,,
,,90145,,Ga.al. Viaggi S.n.c. di Migliazzo Alessio,,,20,,,,,,,Palermo,091/6823125,Aish Travel,091/6811667,,,,agenzia di viaggi,,,,info@aishtravel.com,,,,Aish Travel,,,
,,90139,,Jetset S.p.A.,,,21,,,,,,,Palermo,091332755,Jetset,091324006,www.viaggijetset.com,,,agenzia di viaggi,,,,jetset@viaggijetset.com,,,,Jetset,,,
,,90129,,Baykam Tour S.n.c.,,,22,,,,,,,Palermo,091485678,Journey Travel,091420792,www.baykamtour.it,,,agenzia di viaggi,,,,baykamtour@baykamtour.it,,,,Journey Travel,,,
,,90144,,Azimut Soc. Coop. a.r.l.,,,23,,,,,,,Palermo,091/7307981,Albergheria Viaggi,091/301622,www.albergheriaviaggi.com,,,agenzia di viaggi,,,,info@albergheriaviaggi.com,,,,Albergheria Viaggi,,,
,,90144,,BET Travel S.r.l.,,,24,,,,,,,Palermo,091340054,Kaimano Viaggi,0916258885,www.bettravel.it,,,agenzia di viaggi,,,,info@bettravel.it,,,,Kaimano Viaggi,,,
,,90145,,Lele Viaggi di Gabriele Mancino,,,38,,,,,,,Palermo,0916832779,Lele Viaggi,0916865050,www.leleviaggi.it,,,agenzia di viaggi,,,,leleviaggi@tiscali.it,,,,Lele Viaggi,,,
,,90138,,Aleda e C. S.a.s,,,42,,,,,,,Palermo,0917794312,Marvida Viaggi e Turismo,0917794310,www.marvidaviaggi.it,,,agenzia di viaggi,,,,info@marvidaviaggi.it,,,,Marvida Viaggi e Turismo,,,
,,90143,,Mauritania Viaggi di Orlando Debora,,,45,,,,,,,Palermo,091307505,Mauritania Viaggi e Turismo,0916269861,,,,agenzia di viaggi,,,,mauritaniaviaggi@libero.it,,,,Mauritania Viaggi e Turismo,,,
,,90141,,Southwards S.a.s.,,,48,,,,,,,Palermo,0916123808,Melagodo Viaggi succ.,0916123808,,,,agenzia di viaggi,,,,palermo@melagodoviaggi.it,,,,Melagodo Viaggi succ.,,,
,,90145,,Il Tuareg S.r.l.,,,49,,,,,,,Palermo,091203644,Mesotour,091203445,www.mesotourviaggi.com,,,agenzia di viaggi,,,,info@mesotourviaggi.com,,,,Mesotour,,,
,,90133,,Mesotour Viaggi Travel Network,,,50,,,,,,,Palermo,0916093649,Mesotour,0916121476,,,,agenzia di viaggi,,,,sun_travel@libero.it,,,,Mesotour,,,
,,90145,,Mister Holiday S.r.l.,,,51,,,,,,,Palermo,091227463,Mister Holiday Filiale di Palermo,0917297232,www.misterholiday.it,,,agenzia di viaggi,,,,palermo@misterholiday.it,,,,Mister Holiday Filiale di Palermo,,,
,,90142,,,,,53,,,,,,,Palermo,0916311512,Mondolingua Tour,091362058,www.mondolingua.it,,,agenzia di viaggi,,,,mondo.lingua@tiscali.it,,,,Mondolingua Tour,,,
,,90134,,Briaria Travel di Marcel Berke,,,54,,,,,,,Palermo,091/9765138,Briaria Travel,091/9765138,,,,agenzia di viaggi,,,,insideballaro@libero.it,,,,Briaria Travel,,,
,,90151,,Norma Vacanze s.a.s.,,,60,,,,,,,Palermo,0916840330,Norma Vacanze,0916840754,www.normavacanze.it,,,agenzia di viaggi,,,,info@normavacanze.it,,,,Norma Vacanze,,,
,,90143,,Pinguino Tour S.a.S.,,,61,,,,,,,Palermo,091/6197967,Calpia Viaggi,091/340966,,,,agenzia di viaggi,,,,info@calpiaviaggi.com,,,,Calpia Viaggi,,,
,,90139,,Nuova Idea Viaggi s.r.l,,,64,,,,,,,Palermo,091588852,Nuova Idea Viaggi,091333496,www.nuovaideaviaggi.it,,,agenzia di viaggi,,,,info@nuovaideaviaggi.it,,,,Nuova Idea Viaggi,,,
